Index;Date
148;02/06/2008
149;03/06/2008
150;04/06/2008
151;05/06/2008
152;06/06/2008
153;07/06/2008
154;08/06/2008
155;09/06/2008
156;10/06/2008
157;11/06/2008
158;12/06/2008
159;13/06/2008
160;14/06/2008
161;15/06/2008
162;16/06/2008
163;17/06/2008
164;18/06/2008
165;19/06/2008
166;20/06/2008
167;21/06/2008
168;22/06/2008
169;23/06/2008
170;24/06/2008
171;25/06/2008
172;26/06/2008
173;27/06/2008
174;28/06/2008
175;29/06/2008
176;30/06/2008
177;01/07/2008
178;02/07/2008
179;03/07/2008
180;05/07/2008
181;06/07/2008
182;07/07/2008
183;08/07/2008
184;09/07/2008
185;10/07/2008
186;11/07/2008
187;12/07/2008
188;13/07/2008
189;14/07/2008
190;15/07/2008
191;16/07/2008
192;17/07/2008
193;18/07/2008
194;19/07/2008
195;20/07/2008
196;21/07/2008
197;22/07/2008
198;23/07/2008
199;24/07/2008
200;25/07/2008
201;26/07/2008
202;27/07/2008
203;28/07/2008
204;29/07/2008
205;30/07/2008
206;31/07/2008
207;01/08/2008
208;02/08/2008
209;03/08/2008
210;04/08/2008
211;05/08/2008
212;06/08/2008
213;07/08/2008
214;08/08/2008
215;09/08/2008
216;10/08/2008
217;11/08/2008
218;12/08/2008
219;13/08/2008
220;14/08/2008
221;15/08/2008
222;16/08/2008
223;17/08/2008
224;18/08/2008
225;19/08/2008
226;20/08/2008
227;21/08/2008
228;22/08/2008
229;23/08/2008
230;24/08/2008
231;25/08/2008
232;26/08/2008
233;27/08/2008
234;28/08/2008
235;29/08/2008
236;30/08/2008
237;31/08/2008
238;02/09/2008
239;03/09/2008
240;04/09/2008
241;05/09/2008
242;06/09/2008
243;07/09/2008
244;08/09/2008
245;09/09/2008
246;10/09/2008
247;11/09/2008
248;12/09/2008
249;13/09/2008
250;14/09/2008
251;15/09/2008
252;16/09/2008
253;17/09/2008
254;18/09/2008
255;19/09/2008
256;20/09/2008
257;21/09/2008
258;22/09/2008
259;23/09/2008
260;24/09/2008
261;25/09/2008
262;26/09/2008
263;27/09/2008
264;28/09/2008
265;29/09/2008
266;30/09/2008
267;01/10/2008
268;02/10/2008
269;03/10/2008
270;04/10/2008
271;05/10/2008
272;06/10/2008
273;07/10/2008
274;08/10/2008
275;09/10/2008
276;10/10/2008
277;11/10/2008
278;12/10/2008
279;13/10/2008
280;14/10/2008
281;15/10/2008
282;16/10/2008
283;17/10/2008
284;18/10/2008
285;19/10/2008
286;21/10/2008
287;22/10/2008
288;23/10/2008
289;24/10/2008
290;25/10/2008
291;26/10/2008
292;27/10/2008
293;28/10/2008
294;29/10/2008
295;30/10/2008
296;31/10/2008
297;01/11/2008
298;02/11/2008
299;03/11/2008
300;04/11/2008
301;05/11/2008
302;06/11/2008
303;07/11/2008
304;08/11/2008
305;09/11/2008
306;10/11/2008
307;11/11/2008
308;12/11/2008
309;13/11/2008
310;14/11/2008
311;15/11/2008
312;16/11/2008
313;18/11/2008
314;19/11/2008
315;20/11/2008
316;21/11/2008
317;22/11/2008
318;23/11/2008
319;24/11/2008
320;25/11/2008
321;26/11/2008
322;27/11/2008
323;28/11/2008
324;29/11/2008
325;30/11/2008
326;01/12/2008
327;02/12/2008
328;03/12/2008
329;04/12/2008
330;05/12/2008
331;06/12/2008
332;08/12/2008
333;09/12/2008
334;10/12/2008
335;11/12/2008
336;12/12/2008
337;13/12/2008
338;14/12/2008
339;15/12/2008
340;16/12/2008
341;17/12/2008
342;18/12/2008
343;19/12/2008
344;20/12/2008
345;21/12/2008
346;22/12/2008
347;23/12/2008
348;24/12/2008
349;25/12/2008
350;26/12/2008
351;27/12/2008
352;28/12/2008
353;29/12/2008
354;30/12/2008
355;31/12/2008
356;01/01/2009
357;02/01/2009
358;03/01/2009
359;04/01/2009
360;05/01/2009
361;06/01/2009
362;07/01/2009
363;08/01/2009
364;09/01/2009
365;10/01/2009
366;11/01/2009
367;12/01/2009
368;13/01/2009
369;14/01/2009
370;15/01/2009
371;16/01/2009
372;17/01/2009
373;18/01/2009
374;19/01/2009
375;20/01/2009
376;21/01/2009
377;22/01/2009
378;23/01/2009
379;24/01/2009
380;25/01/2009
381;26/01/2009
382;27/01/2009
383;28/01/2009
384;29/01/2009
385;30/01/2009
386;31/01/2009
387;01/02/2009
388;02/02/2009
389;03/02/2009
390;04/02/2009
391;05/02/2009
392;06/02/2009
393;07/02/2009
394;08/02/2009
395;09/02/2009
396;10/02/2009
397;11/02/2009
398;12/02/2009
399;13/02/2009
400;14/02/2009
401;15/02/2009
402;16/02/2009
403;17/02/2009
404;18/02/2009
405;19/02/2009
406;20/02/2009
407;21/02/2009
408;22/02/2009
409;24/02/2009
410;25/02/2009
411;26/02/2009
412;27/02/2009
413;28/02/2009
414;01/03/2009
415;02/03/2009
416;03/03/2009
417;04/03/2009
418;05/03/2009
419;06/03/2009
420;07/03/2009
421;08/03/2009
422;09/03/2009
423;10/03/2009
424;11/03/2009
425;12/03/2009
426;13/03/2009
427;14/03/2009
428;15/03/2009
429;16/03/2009
430;17/03/2009
431;18/03/2009
432;19/03/2009
433;20/03/2009
434;21/03/2009
435;22/03/2009
436;23/03/2009
437;24/03/2009
438;25/03/2009
439;26/03/2009
